Analyte,tG
2-Deoxy Glucose,5.967
2-Deoxy Glucose,6.05
2-Deoxy Glucose,6.05
2-Deoxy Glucose,5.5
2-Deoxy Glucose,5.567
2-Deoxy Glucose,5.55
2-Deoxy Glucose,5.1
2-Deoxy Glucose,5.15
2-Deoxy Glucose,5.15
2-Deoxy Glucose,5.817
2-Deoxy Glucose,6.033
2-Deoxy Glucose,6.033
2-Deoxy Glucose,5.4
2-Deoxy Glucose,5.55
2-Deoxy Glucose,5.55
2-Deoxy Glucose,5.017
2-Deoxy Glucose,5.117
2-Deoxy Glucose,5.117
2-Deoxy Glucose,5.433
2-Deoxy Glucose,5.983
2-Deoxy Glucose,5.967
2-Deoxy Glucose,5.084
2-Deoxy Glucose,5.483
2-Deoxy Glucose,5.5
2-Deoxy Glucose,4.783
2-Deoxy Glucose,5.1
2-Deoxy Glucose,5.1
Arabinose,7.7
Arabinose,7.95
Arabinose,7.95
Arabinose,6.867
Arabinose,7.017
Arabinose,7.017
Arabinose,6.2
Arabinose,6.317
Arabinose,6.317
Arabinose,7.367
Arabinose,7.9
Arabinose,7.934
Arabinose,6.634
Arabinose,7.017
Arabinose,7
Arabinose,6.05
Arabinose,6.267
Arabinose,6.267
Arabinose,6.534
Arabinose,7.784
Arabinose,7.833
Arabinose,6
Arabinose,6.933
Arabinose,6.95
Arabinose,5.55
Arabinose,6.233
Arabinose,6.234
Arabitol,1.534
Arabitol,1.533
Arabitol,1.534
Arabitol,1.517
Arabitol,1.534
Arabitol,1.534
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Arabitol,1.534
Arabitol,1.534
Arabitol,1.533
Arabitol,1.534
Arabitol,1.533
Arabitol,1.534
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Arabitol,1.534
Arabitol,1.533
Arabitol,1.533
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Arabitol,1.517
Cellobiose,37.933
Cellobiose,40.117
Cellobiose,42.15
Cellobiose,33.434
Cellobiose,35.2
Cellobiose,36.833
Cellobiose,29.717
Cellobiose,31.167
Cellobiose,32.45
Cellobiose,29.717
Cellobiose,32.784
Cellobiose,35.733
Cellobiose,27.184
Cellobiose,29.867
Cellobiose,32.367
Cellobiose,24.767
Cellobiose,26.984
Cellobiose,29.167
Cellobiose,19.383
Cellobiose,23.817
Cellobiose,27.567
Cellobiose,18.867
Cellobiose,22.5
Cellobiose,26.05
Cellobiose,17.75
Cellobiose,21.267
Cellobiose,24.483
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.25
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.25
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.267
Erythritol,1.25
Erythritol,1.25
Erythritol,1.267
Erythritol,1.25
Fructose,14.333
Fructose,15.3
Fructose,15.917
Fructose,12.2
Fructose,12.833
Fructose,13.15
Fructose,10.584
Fructose,11.05
Fructose,11.183
Fructose,12.684
Fructose,14.417
Fructose,15.667
Fructose,11.133
Fructose,12.4
Fructose,13.083
Fructose,9.883
Fructose,10.75
Fructose,11.067
Fructose,9.884
Fructose,12.684
Fructose,14.9
Fructose,9.05
Fructose,11.383
Fructose,12.9
Fructose,8.35
Fructose,10.25
Fructose,11.017
Fucose,3.65
Fucose,3.667
Fucose,3.65
Fucose,3.417
Fucose,3.433
Fucose,3.417
Fucose,3.217
Fucose,3.234
Fucose,3.234
Fucose,3.617
Fucose,3.65
Fucose,3.65
Fucose,3.4
Fucose,3.433
Fucose,3.417
Fucose,3.2
Fucose,3.217
Fucose,3.217
Fucose,3.417
Fucose,3.65
Fucose,3.634
Fucose,3.317
Fucose,3.4
Fucose,3.4
Fucose,3.134
Fucose,3.2
Fucose,3.217
Galactitol,1.717
Galactitol,1.717
Galactitol,1.733
Galactitol,1.717
Galactitol,1.717
Galactitol,1.717
Galactitol,1.7
Galactitol,1.7
Galactitol,1.7
Galactitol,1.717
Galactitol,1.717
Galactitol,1.733
Galactitol,1.717
Galactitol,1.717
Galactitol,1.717
Galactitol,1.717
Galactitol,1.7
Galactitol,1.7
Galactitol,1.717
Galactitol,1.734
Galactitol,1.717
Galactitol,1.7
Galactitol,1.717
Galactitol,1.7
Galactitol,1.7
Galactitol,1.7
Galactitol,1.7
Galactose,9.75
Galactose,10.1
Galactose,10.183
Galactose,8.717
Galactose,8.967
Galactose,9
Galactose,7.884
Galactose,8.067
Galactose,8.084
Galactose,9.183
Galactose,9.967
Galactose,10.15
Galactose,8.334
Galactose,8.9
Galactose,8.967
Galactose,7.583
Galactose,7.984
Galactose,8
Galactose,7.534
Galactose,9.584
Galactose,10
Galactose,7.333
Galactose,8.684
Galactose,8.883
Galactose,6.85
Galactose,7.917
Galactose,7.967
Gentobiose,34.417
Gentobiose,36.367
Gentobiose,38.15
Gentobiose,30.433
Gentobiose,31.983
Gentobiose,33.383
Gentobiose,27.1
Gentobiose,28.367
Gentobiose,29.467
Gentobiose,27.6
Gentobiose,30.45
Gentobiose,33.167
Gentobiose,25.217
Gentobiose,27.7
Gentobiose,29.933
Gentobiose,23.1
Gentobiose,25.017
Gentobiose,26.95
Gentobiose,18.95
Gentobiose,22.667
Gentobiose,26.233
Gentobiose,17.917
Gentobiose,21.383
Gentobiose,24.734
Gentobiose,16.967
Gentobiose,20.183
Gentobiose,23.2
Glucose,10.95
Glucose,11.477667
Glucose,11.644333
Glucose,9.6
Glucose,9.95
Glucose,10.028
Glucose,8.55
Glucose,8.8
Glucose,8.822333
Glucose,10.133333
Glucose,11.2
Glucose,11.622333
Glucose,9.05
Glucose,9.833333
Glucose,9.983333
Glucose,8.150333
Glucose,8.689
Glucose,8.744667
Glucose,8.433667
Glucose,10.511333
Glucose,11.45
Glucose,7.767
Glucose,9.45
Glucose,9.861333
Glucose,7.189
Glucose,8.538667
Glucose,8.7
Glycerol,1.167
Glycerol,1.15
Glycerol,1.15
Glycerol,1.15
Glycerol,1.167
Glycerol,1.15
Glycerol,1.15
Glycerol,1.15
Glycerol,1.15
Glycerol,1.167
Glycerol,1.167
Glycerol,1.15
Glycerol,1.167
Glycerol,1.167
Glycerol,1.167
Glycerol,1.15
Glycerol,1.167
Glycerol,1.167
Glycerol,1.167
Glycerol,1.167
Glycerol,1.167
Glycerol,1.15
Glycerol,1.167
Glycerol,1.15
Glycerol,1.15
Glycerol,1.15
Glycerol,1.15
Lactose,24.417
Lactose,25.933
Lactose,27.233
Lactose,21.25
Lactose,22.4
Lactose,23.333
Lactose,18.7
Lactose,19.6
Lactose,20.267
Lactose,20.383
Lactose,22.783
Lactose,24.983
Lactose,18.367
Lactose,20.367
